Ntot,NumWorkers,Temps(ns),Pi,Erreur
120000000,1,4130454300,3.141387566666667,6.528119515810463E-5
120000000,1,4118877700,3.141509533333333,2.6457999373336236E-5
120000000,1,4127345900,3.1415140666666668,2.5014994555881103E-5
120000000,1,4127633800,3.141592966666667,9.965546405305007E-8
120000000,1,4131169700,3.141635733333333,1.3712708263047082E-5
120000000,1,4128448600,3.141741533333333,4.738989422130638E-5
120000000,1,4174076900,3.1415820333333335,3.3805326248955644E-6
120000000,1,4164965700,3.1414746,3.757762473063279E-5
120000000,1,4131898200,3.1418024333333334,6.677496628997959E-5
120000000,1,4126659800,3.1416087,5.107731006586438E-6
240000000,2,4349146700,3.1415526333333332,1.2738843278791418E-5
240000000,2,4295417600,3.14173475,4.5230692160049645E-5
240000000,2,4391006000,3.14156095,1.0091566058623046E-5
240000000,2,4777280600,3.1416040333333335,3.622284871137164E-6
240000000,2,4396803200,3.141368433333333,7.137152431387073E-5
240000000,2,4424269600,3.1415973833333335,1.5055241280159315E-6
240000000,2,4324768300,3.14187145,8.874365360140587E-5
240000000,2,4399156700,3.14146345,4.112677996163994E-5
240000000,2,4314627600,3.1416270666666666,1.0954022582826033E-5
240000000,2,4254289600,3.141662683333333,2.2291159695726048E-5
360000000,3,4586050500,3.1415977777777777,1.6310796941608943E-6
360000000,3,4548833800,3.1417017555555553,3.472823430419141E-5
360000000,3,4549034500,3.141618388888889,8.191800126081913E-6
360000000,3,4530497700,3.141658888888889,2.1083350516489736E-5
360000000,3,4460243700,3.1414627,4.136551237624047E-5
360000000,3,4625325000,3.1416676333333338,2.3866793632513645E-5
360000000,3,4532042900,3.141615288888889,7.205039478972135E-6
360000000,3,4564561700,3.141630188888889,1.1947856783123311E-5
360000000,3,4546572800,3.1416682111111114,2.4050706011147926E-5
360000000,3,4558004900,3.141688911111111,3.06397206549708E-5
480000000,4,4849867600,3.1415302916666668,1.98504166525552E-5
480000000,4,4671953300,3.1415260333333332,2.120588625127635E-5
480000000,4,4652800100,3.1415743,5.842129078168117E-6
480000000,4,4629311300,3.141662375,2.219301414756421E-5
480000000,4,4667543700,3.1416431583333333,1.6076159168016437E-5
480000000,4,4624439800,3.1416293583333332,1.168348273865983E-5
480000000,4,4690212200,3.1416093916666665,5.327895344511525E-6
480000000,4,4631162100,3.1416959,3.2864353081904354E-5
480000000,4,4669264700,3.1415735583333335,6.078208910305668E-6
480000000,4,4623365000,3.1414474083333332,4.623300105247652E-5
720000000,6,4905791800,3.14162325,9.739139850543578E-6
720000000,6,4907047000,3.141551772222222,1.3012943458622665E-5
720000000,6,4884595200,3.1416026833333333,3.1925665247148457E-6
720000000,6,4901643700,3.1415398555555556,1.6806136268873597E-5
720000000,6,4873469600,3.141729894444444,4.368512082370816E-5
720000000,6,4945561900,3.1415709388888886,6.9120039734287155E-6
720000000,6,4888229500,3.1414792944444443,3.608333665387584E-5
720000000,6,4914032000,3.1415513388888887,1.315087774259838E-5
720000000,6,4898454000,3.141462433333333,4.145039501265283E-5
720000000,6,4892986700,3.141572566666667,6.393866214070968E-6
960000000,8,5152022300,3.1415371833333334,1.7656731020269198E-5
960000000,8,5325664200,3.1415323583333334,1.919257622110156E-5
960000000,8,5172865800,3.141618004166667,8.069339239359298E-6
960000000,8,5177067700,3.1415985791666667,1.8861697002159729E-6
960000000,8,5166797500,3.1415536416666665,1.241788081024151E-5
960000000,8,5169104000,3.1415541791666666,1.2246789246397342E-5
960000000,8,5168018500,3.1415546791666666,1.20876343032832E-5
960000000,8,5465863000,3.1415621875,9.697657574532166E-6
960000000,8,5168013500,3.14168415,2.9124211919216778E-5
960000000,8,5268101500,3.1415492125,1.3827728347686828E-5
1440000000,12,8047141100,3.1415786694444443,4.45129171435761E-6
1440000000,12,7869751700,3.1416127972222223,6.411917345864409E-6
1440000000,12,8177908600,3.1416170416666667,7.762965973861041E-6
1440000000,12,7861278900,3.141605211111111,3.997183181451875E-6
1440000000,12,8202940000,3.1416294638888886,1.1717082115487651E-5
1440000000,12,7866280500,3.1416161527777775,7.480023852722114E-6
1440000000,12,8126756300,3.1416342444444445,1.3238780210369085E-5
1440000000,12,8168797400,3.1416438555555555,1.629809189420306E-5
1440000000,12,8168747300,3.141653038888889,1.9221237682322857E-5
1440000000,12,8237795600,3.141574425,5.802340342354241E-6
